1,0
9,2
32,0
36,32
58,0
142,2
177,0
183,32
202,0
294,2
323,0
324,4
329,36
343,4
351,0
356,32
359,0
377,2
396,0
402,32
417,0
486,2
516,6
517,4
523,36
545,4
559,0
565,32
585,0
645,2
672,0
678,34
685,2
699,6
708,4
711,6
713,38
729,36
733,4
736,32
754,0
755,32
772,0
863,2
892,0
897,32
914,0
922,2
946,6
959,4
964,6
982,2
988,34
998,2
1005,0
1006,2
1011,34
1014,2
1020,6
1024,4
1027,6
1029,38
1035,6
1045,4
1047,0
1053,32
1061,34
1081,2
1082,34
1085,32
1094,0
1095,32
1113,0
1418,2
1430,0
1438,32
1452,0
1459,2
1478,0
1486,32
1499,0
1623,2
1648,0
1653,32
1663,0
1780,2
1803,0
1810,32
1813,0
1853,2
1898,0
1905,32
1931,0
2044,2
2051,0
2057,32
2067,0
2074,2
2081,6
2091,4
2099,36
2112,32
2124,0
2125,32
2146,0
2161,2
2195,0
2198,2
2203,34
2221,2
2227,0
2231,32
2247,0
2344,2
2372,0
2377,32
2396,0
2433,2
2466,0
2471,32
2500,0
2513,2
2530,6
2534,4
2539,36
2540,32
2548,34
2549,2
2550,34
2567,2
2574,4
2580,36
2582,32
2593,0
2594,32
2614,0
2675,2
2686,6
2690,4
2696,36
2702,32
2703,0
2709,32
2720,0
2729,2
2769,4
2774,38
2786,6
2803,2
2807,34
2811,2
2813,0
2818,32
2839,0
2841,2
2882,0
2888,32
2898,0
2914,2
2933,0
2940,32
2947,0
3124,2
3140,6
3155,2
3162,34
3170,2
3171,0
3178,32
3190,0
3275,2
3294,0
3297,32
3308,0
3380,2
3396,6
3400,4
3405,36
3432,38
3433,2
3439,34
3447,2
3452,6
3459,4
3463,6
3466,38
3476,6
3477,2
3483,34
3492,38
3497,6
3511,4
3516,36
3519,4
3523,0
3536,2
3568,0
3574,32
3583,0
3703,2
3727,0
3735,32
3761,0
3891,2
3912,0
3919,32
3927,0
3954,2
3983,0
3988,32
4004,0
4021,2
4051,0
4058,32
4071,0
4089,2
4117,0
4123,32
4134,0
4227,2
4237,0
4244,32
4258,0
4259,2
4284,6
4286,4
4290,36
4294,38
4300,6
4310,4
4311,0
4314,32
4333,0
4334,32
4345,34
4353,2
4371,0
4379,32
4392,0
4452,2
4473,0
4478,32
4494,0
4560,2
4586,0
4592,32
4597,0
4667,2
4682,0
4688,32
4695,34
4701,2
4724,6
4726,4
4732,36
4749,4
4766,0
4772,32
4783,0
4812,2
4839,0
4846,32
4855,0
4869,2
4903,6
4914,0
4915,2
4919,34
4924,2
4925,34
4935,2
4942,0
4947,32
4961,0
4996,2
5026,6
5036,4
5037,6
5043,38
5055,6
5056,2
5062,34
5067,32
5084,0
5085,32
5102,0
5104,2
5108,6
5137,2
5138,6
5139,4
5140,6
5143,38
5152,6
5153,38
5170,6
5177,2
5180,0
5181,34
5185,2
5186,34
5194,2
5197,6
5204,4
5210,36
5217,6
5236,4
5237,6
5240,2
5244,34
5246,2
5247,34
5272,2
5278,0
5282,32
5285,34
5290,2
5322,0
5327,32
5343,0
5547,2
5567,0
5572,32
5577,34
5590,2
5599,0
5604,32
5630,0
5836,2
5876,0
5882,32
5897,0
5903,2
5945,0
5950,32
5965,0
5989,2
6022,0
6029,32
6037,0
6125,2
6157,0
6163,32
6195,0
6379,2
6397,0
6403,32
6407,34
6429,2
6449,6
6452,4
6459,36
6468,4
6476,0
6482,32
6491,0
6597,2
6620,0
6626,32
6643,34
6644,2
6673,0
6681,32
6691,0
6720,2
6736,6
6756,4
6761,36
6764,32
6783,0
6784,32
6802,0
6842,2
6891,0
6897,32
6899,34
6923,0
6930,32
6951,0
6962,2
6983,0
6990,32
7001,0
7140,2
7176,0
7182,32
7200,0
7325,2
7336,0
7430,2
7432,6
7452,2
7458,34
7460,32
7477,0
7478,32
7495,34
7500,2
7517,0
7523,32
7532,0
7673,2
7703,6
7710,4
7715,36
7727,4
7732,6
7747,2
7753,34
7761,2
7766,0
7773,32
7781,0
7910,2
7939,0
7947,32
7959,0
8083,2
8126,0
8132,32
8154,0
8229,2
8261,0
8266,32
8286,0
8355,2
8390,0
8395,32
8403,0
8574,2
8592,6
8613,2
8619,34
8620,32
8621,34
8630,2
8631,34
8638,32
8652,34
8653,2
8654,34
8670,2
8682,6
8691,4
8697,36
8700,38
8714,6
8722,2
8726,34
8732,32
8737,0
8738,32
8753,0
8771,2
8791,0
8795,32
8796,34
8807,2
8812,0
8818,32
8827,0
8864,2
8879,6
8890,4
8896,0
8897,32
8913,0
8914,32
8937,0
9029,2
9053,0
9059,32
9078,0
9085,2
9090,0
9095,32
9099,0
9109,2
9119,6
9138,4
9140,6
9145,38
9158,34
9163,36
9166,4
9167,36
9186,4
9187,36
9197,32
9205,0
9206,32
9208,0
9225,2
9273,0
9279,32
9285,0
